created_at,full_text,id_str,lang,sentiment_result,sentiment,score
2025-07-04 13:40:45+00:00,Saham BBRI tetap bersinar meski pasar global bergejolak. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/Or1lvSQ6xj,1941130062390309354,in,"{'label': 'neutral', 'score': 0.9081076383590698}",neutral,0.9081076383590698
2025-07-04 13:39:20+00:00,BBRI jadi pilihan utama di portofolio investor jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/NJxyVxyvKw,1941129702720385030,in,"{'label': 'neutral', 'score': 0.9325693845748901}",neutral,0.9325693845748901
2025-07-04 13:39:14+00:00,Aksi JP Morgan cerminan keyakinan terhadap masa depan BBRI. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/VxCTdRSu3z,1941129679274209649,in,"{'label': 'neutral', 'score': 0.9947511553764343}",neutral,0.9947511553764343
2025-07-04 13:39:02+00:00,Saham BBRI tetap relevan untuk investor lokal dan global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/mxfYesbcZR,1941129628867039352,in,"{'label': 'neutral', 'score': 0.9750567078590393}",neutral,0.9750567078590393
2025-07-04 13:37:37+00:00,JPMorgan beli besar-besaran karena percaya BBRI punya arah yang jelas. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/jjhU9vrd3N,1941129270413402313,in,"{'label': 'neutral', 'score': 0.9765814542770386}",neutral,0.9765814542770386
2025-07-04 13:36:24+00:00,Di tengah koreksi pasar BBRI tetap jadi incaran investor besar. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/jyWU4zjIvl,1941128964963250479,in,"{'label': 'neutral', 'score': 0.9714032411575317}",neutral,0.9714032411575317
2025-07-04 13:36:15+00:00,Saham BBRI bukti kekuatan bank nasional dengan standar global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/ElnDtwXoNe,1941128927860392378,in,"{'label': 'neutral', 'score': 0.9590771794319153}",neutral,0.9590771794319153
2025-07-04 13:36:10+00:00,Investor internasional lirik BBRI karena stabilitas dan prospek cerah. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/jIM7jwSdhg,1941128908268793887,in,"{'label': 'neutral', 'score': 0.8036244511604309}",neutral,0.8036244511604309
2025-07-04 13:36:06+00:00,Transformasi menyeluruh BRI jadi alasan BBRI makin diperhitungkan. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/phFYJq9fqS,1941128888790442036,in,"{'label': 'neutral', 'score': 0.8632127046585083}",neutral,0.8632127046585083
2025-07-04 13:31:00+00:00,Saham BBRI adalah aset strategis yang terus bertumbuh. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/p4X692rdYk,1941127607606767719,in,"{'label': 'neutral', 'score': 0.9369449615478516}",neutral,0.9369449615478516
2025-07-04 13:30:50+00:00,Di tengah tekanan BBRI tetap jadi sinyal positif bagi pasar. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/AJoxLAqMJ2,1941127563289805255,in,"{'label': 'neutral', 'score': 0.8849108815193176}",neutral,0.8849108815193176
2025-07-04 13:30:35+00:00,Saham BBRI bukan hanya investasi tapi komitmen pada masa depan Indonesia. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/W3cbDq3CFl,1941127503743271007,in,"{'label': 'neutral', 'score': 0.537738561630249}",neutral,0.537738561630249
2025-07-04 13:27:40+00:00,BBRI tetap jadi portofolio favorit institusi global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/P3ltUFws6m,1941126769085673928,in,"{'label': 'neutral', 'score': 0.9015979766845703}",neutral,0.9015979766845703
2025-07-04 13:27:36+00:00,Saham BBRI cerminan dari bisnis yang kuat dan terpercaya. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/BVs2p95xFZ,1941126750496526364,in,"{'label': 'positive', 'score': 0.8170404434204102}",positive,0.8170404434204102
2025-07-04 13:26:07+00:00,SSaham BBRI jadi benchmark untuk kepercayaan investor jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/iczAfEcKxx,1941126376054268009,in,"{'label': 'neutral', 'score': 0.6591770648956299}",neutral,0.6591770648956299
2025-07-04 13:25:53+00:00,Di saat yang lain ragu investor besar justru masuk ke BBRI. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/WPyqjgH9UQ,1941126317946409438,in,"{'label': 'neutral', 'score': 0.9644007086753845}",neutral,0.9644007086753845
2025-07-04 13:24:16+00:00,BBRI jadi pilihan di tengah risiko global yang meningkat. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/ZIyssVMQVm,1941125912470442192,in,"{'label': 'neutral', 'score': 0.9454920887947083}",neutral,0.9454920887947083
2025-07-04 13:23:05+00:00,Saham BBRI digerakkan oleh nilai bukan hanya sentimen. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/bwHmIysYGr,1941125613081039156,in,"{'label': 'neutral', 'score': 0.9882479310035706}",neutral,0.9882479310035706
2025-07-04 13:22:41+00:00,Saham BBRI jadi refleksi kepercayaan pada perekonomian nasional. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/mydGnh7XRP,1941125514862973047,in,"{'label': 'neutral', 'score': 0.9803355932235718}",neutral,0.9803355932235718
2025-07-04 13:22:19+00:00,Gw ga ada trx bhkan ga ada buka app dari terakhir beli saham BBRI itu? Tp kok ada trx jual saham BBCA tgl 1 juli????? Kek gw ga pernah jual saham gw di BBCA loh? Apa ini saatnya gw tutup akun di @ajaib_investasi mencurigakan https://t.co/zbsR3HLJxu,1941125423016050942,in,"{'label': 'negative', 'score': 0.9964196681976318}",negative,0.9964196681976318
2025-07-04 13:21:40+00:00,Saat geopolitik tak pasti BBRI tetap stabil dan atraktif. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/cwVE2pMQsf,1941125259199148450,in,"{'label': 'neutral', 'score': 0.5751881003379822}",neutral,0.5751881003379822
2025-07-04 13:21:36+00:00,Prospek saham BBRI terang benderang di tengah awan global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/sVh7OgBR8o,1941125241272733705,in,"{'label': 'neutral', 'score': 0.9351725578308105}",neutral,0.9351725578308105
2025-07-04 13:19:58+00:00,BBRI bukan saham biasa ini saham bank terbesar segmen UMKM. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/ChXlFDI3ST,1941124830604222958,in,"{'label': 'neutral', 'score': 0.9762157201766968}",neutral,0.9762157201766968
2025-07-04 13:19:53+00:00,Dari masa ke masa BBRI tetap jadi andalan portofolio jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/kF9mjHIi7C,1941124808781213886,in,"{'label': 'neutral', 'score': 0.5487446188926697}",neutral,0.5487446188926697
2025-07-04 13:18:49+00:00,BBRI bukan hanya saham tapi simbol kepercayaan jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/EZddSIY1ed,1941124541012648256,in,"{'label': 'neutral', 'score': 0.6899051070213318}",neutral,0.6899051070213318
2025-07-04 13:18:35+00:00,Saham BBRI tetap diminati karena prospeknya terukur dan stabil. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/mED6sH9Vrl,1941124482179199027,in,"{'label': 'positive', 'score': 0.5161005258560181}",positive,0.5161005258560181
2025-07-04 13:17:27+00:00,Investor besar tahu: BBRI punya arah dan daya tahan jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/KG6eYK9zz4,1941124196870062092,in,"{'label': 'neutral', 'score': 0.7510942816734314}",neutral,0.7510942816734314
2025-07-04 13:09:56+00:00,Saham BBRI jadi indikator kekuatan perbankan Indonesia. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/cX6r0bI0uu,1941122305763197013,in,"{'label': 'neutral', 'score': 0.9884729981422424}",neutral,0.9884729981422424
2025-07-04 13:08:27+00:00,Saham BBRI tetap bersinar meski pasar global bergejolak. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/qcQCMVcYo0,1941121930565955784,in,"{'label': 'neutral', 'score': 0.9135012626647949}",neutral,0.9135012626647949
2025-07-04 13:07:13+00:00,BBRI jadi pilihan utama di portofolio investor jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/DBYPyiTWUB,1941121619784761606,in,"{'label': 'neutral', 'score': 0.898736298084259}",neutral,0.898736298084259
2025-07-04 13:07:04+00:00,Aksi JP Morgan cerminan keyakinan terhadap masa depan BBRI. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/IGU6fDyh3e,1941121583558668558,in,"{'label': 'neutral', 'score': 0.9946087598800659}",neutral,0.9946087598800659
2025-07-04 13:06:55+00:00,Saham BBRI tetap relevan untuk investor lokal dan global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/TIufNNVzra,1941121545809846511,in,"{'label': 'neutral', 'score': 0.9867890477180481}",neutral,0.9867890477180481
2025-07-04 13:05:22+00:00,JPMorgan beli besar-besaran karena percaya BBRI punya arah yang jelas. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/TQ16NXnLPJ,1941121154829476150,in,"{'label': 'neutral', 'score': 0.9733378291130066}",neutral,0.9733378291130066
2025-07-04 13:04:00+00:00,Di tengah koreksi pasar BBRI tetap jadi incaran investor besar. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/uHAAbAHzy9,1941120811324387587,in,"{'label': 'neutral', 'score': 0.9758849143981934}",neutral,0.9758849143981934
2025-07-04 13:03:51+00:00,Saham BBRI bukti kekuatan bank nasional dengan standar global. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/5JPjc9Af2T,1941120775475622290,in,"{'label': 'neutral', 'score': 0.9572188854217529}",neutral,0.9572188854217529
2025-07-04 13:03:47+00:00,Investor internasional lirik BBRI karena stabilitas dan prospek cerah. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/tpOM1P4miH,1941120755712090558,in,"{'label': 'neutral', 'score': 0.6383606791496277}",neutral,0.6383606791496277
2025-07-04 13:03:42+00:00,Transformasi menyeluruh BRI jadi alasan BBRI makin diperhitungkan. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/FiW8DUP85B,1941120735638155758,in,"{'label': 'neutral', 'score': 0.8139706254005432}",neutral,0.8139706254005432
2025-07-04 13:02:29+00:00,Investor institusional tak ragu BBRI jadi pilihan jangka panjang. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/qaLIX4sBU8,1941120431890845927,in,"{'label': 'neutral', 'score': 0.9693547487258911}",neutral,0.9693547487258911
2025-07-04 13:01:16+00:00,BBRI jadi pilihan institusi global karena arah dan kapabilitasnya jelas. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/MJAb1ZWntJ,1941120123999547726,in,"{'label': 'positive', 'score': 0.8562032580375671}",positive,0.8562032580375671
2025-07-04 13:01:07+00:00,Di balik gejolak pasar BBRI tetap berdiri di atas fundamental solid. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/sAywoAXrek,1941120085550391624,in,"{'label': 'neutral', 'score': 0.6917843818664551}",neutral,0.6917843818664551
2025-07-04 12:59:56+00:00,Tak hanya tumbuh BBRI juga konsisten jaga tata kelola yang baik. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/tGDXAwUgEf,1941119788828471610,in,"{'label': 'positive', 'score': 0.7430453300476074}",positive,0.7430453300476074
2025-07-04 12:59:52+00:00,Aksi JP Morgan jadi sinyal kuat: BBRI masih punya prospek cerah. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/pD2Ehu7yZm,1941119770415534480,in,"{'label': 'neutral', 'score': 0.9636987447738647}",neutral,0.9636987447738647
2025-07-04 12:58:48+00:00,Aksi JP Morgan buktikan fundamental BBRI tetap kuat. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/2gW2w1X8UG,1941119504890863789,in,"{'label': 'neutral', 'score': 0.9227384924888611}",neutral,0.9227384924888611
2025-07-04 12:58:38+00:00,31 analis Bloomberg: saham BBRI layak dibeli target Rp4.703. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/IMtrRwge0z,1941119461547037153,in,"{'label': 'neutral', 'score': 0.9974575638771057}",neutral,0.9974575638771057
2025-07-04 12:58:33+00:00,Saham BBRI tetap jadi pilihan utama di sektor perbankan Indonesia. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/izQy6BzHkl,1941119439161999536,in,"{'label': 'neutral', 'score': 0.9577181339263916}",neutral,0.9577181339263916
2025-07-04 12:57:02+00:00,JP Morgan beli 117 juta saham BBRI di tengah pasar lesu kepercayaan makin kuat. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/d8JdDagDsb,1941119058600190231,in,"{'label': 'neutral', 'score': 0.9814919829368591}",neutral,0.9814919829368591
2025-07-04 12:56:57+00:00,Kepemilikan saham JP Morgan di BBRI kini tembus 1 54 miliar lembar. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/8L58DXWTOU,1941119035682566316,in,"{'label': 'neutral', 'score': 0.9929632544517517}",neutral,0.9929632544517517
2025-07-04 12:56:42+00:00,Saat yang lain wait and see JP Morgan ambil posisi besar di BBRI. #SahamBBRI #TransformasiBRI #qrisbri https://t.co/FcNCEPMWCR,1941118972990202174,in,"{'label': 'neutral', 'score': 0.9918662905693054}",neutral,0.9918662905693054
2025-07-03 23:50:11+00:00,Sekuritas Pangkas Proyeksi Laba Bank BUMN (BMRI BBNI &amp; BBRI) saat Margin Tertekan https://t.co/RDJHclzaiz,1940921039535722575,in,"{'label': 'neutral', 'score': 0.9984301924705505}",neutral,0.9984301924705505
2025-07-03 16:47:00+00:00,Bbri mulai oke nih,1940814544810790982,in,"{'label': 'negative', 'score': 0.8567735552787781}",negative,0.8567735552787781
2025-07-03 14:42:58+00:00,Investor Global Semakin Percaya Transformasi Jadi Kekuatan Saham BBRI di Tengah Gejolak Pasar https://t.co/o1uazg4Iix,1940783330519404829,in,"{'label': 'neutral', 'score': 0.8213734030723572}",neutral,0.8213734030723572
2025-07-03 14:34:27+00:00,BBRI Jadi Incaran Global JP Morgan Borong Saham: Kepercayaan Investor Menguat di Tengah Transformasi https://t.co/6gccCgh2GD,1940781187670421874,in,"{'label': 'neutral', 'score': 0.9973533153533936}",neutral,0.9973533153533936
2025-07-03 14:30:38+00:00,Di Tengah Ketidakpastian Global Kepercayaan Investor terhadap Saham BBRI Meningkat Berkat Strategi Transformasi Fundamental dan Komitmen BRI https://t.co/zgYDrQgx4X,1940780224863723613,in,"{'label': 'positive', 'score': 0.9819314479827881}",positive,0.9819314479827881
2025-07-03 14:30:15+00:00,JP Morgan Tambah Saham BBRI Bukti Kepercayaan Investor Global Menguatkan Terhadap Arah Transformasi #szrategiid #Saham #BBRI #JPMorgan #Transformasi https://t.co/rYP22z0B3W,1940780129992802670,in,"{'label': 'neutral', 'score': 0.6674371957778931}",neutral,0.6674371957778931
2025-07-03 14:28:49+00:00,@doktermarket BBRI?,1940779769056186387,in,"{'label': 'neutral', 'score': 0.9848549962043762}",neutral,0.9848549962043762
2025-07-03 14:24:56+00:00,Transformasi Jadi Fondasi Daya Tarik Saham BBRI https://t.co/AlwHTW71ng,1940778790860534239,in,"{'label': 'neutral', 'score': 0.9587816596031189}",neutral,0.9587816596031189
2025-07-03 14:22:48+00:00,Kepercayaan Investor Global Menguat Transformasi Jadi Fondasi Daya Tarik Saham BBRI https://t.co/Y9AgdPxelS,1940778256602747379,in,"{'label': 'neutral', 'score': 0.5921592712402344}",neutral,0.5921592712402344
2025-07-03 14:03:20+00:00,JP Morgan Borong Saham BBRI Sinyal Kuat Kepercayaan Investor Global Meningkat https://t.co/T3mWsFZhhV,1940773354224734460,in,"{'label': 'neutral', 'score': 0.9060739874839783}",neutral,0.9060739874839783
2025-07-03 13:38:33+00:00,Balik Arah JP Morgan di Saham BBRI Transformasi Jadi Daya Tarik Tambah Koleksi? https://t.co/g2cOyJ6BlY,1940767116770398399,in,"{'label': 'neutral', 'score': 0.9881693124771118}",neutral,0.9881693124771118
2025-07-03 12:15:02+00:00,JP Morgan Borong Lagi Saham BBRI Sinyal Kembalinya Kepercayaan Investor Global https://t.co/nQGJmv6FTF #RekomendasiSaham,1940746101705023922,in,"{'label': 'neutral', 'score': 0.9939901828765869}",neutral,0.9939901828765869
2025-07-03 09:03:04+00:00,@profesor_saham Kenapa masuk lapas mas? ngomong BBRI gorengan mas ,1940697792458248437,in,"{'label': 'neutral', 'score': 0.9432858228683472}",neutral,0.9432858228683472
2025-07-03 08:52:57+00:00,@qrivasi Sebenernya banyak tapi nyangkut semua di BBRI,1940695246222119087,in,"{'label': 'neutral', 'score': 0.8934198021888733}",neutral,0.8934198021888733
2025-07-03 07:54:13+00:00,Penguatan IHSG Hari Ini Ditopang Saham BBRI dan ANTM https://t.co/tpVlqDp8Bv,1940680463108264172,in,"{'label': 'neutral', 'score': 0.9957226514816284}",neutral,0.9957226514816284
2025-07-03 07:09:44+00:00,8/ Kesimpulan: $BBRI adalah bank paling merakyat terbesar di sektor UMKM dan terus bertransformasi secara digital. Kalau mau punya saham yang stabil mapan dan berperan di ekonomi RI: $BBRI bisa jadi pilihan! #SahamBBRI #BankRakyatIndonesia #SahamBUMN,1940669270360576063,in,"{'label': 'positive', 'score': 0.9549976587295532}",positive,0.9549976587295532
2025-07-03 07:09:31+00:00,7/ Anak usaha $BBRI: BRIS (BRI Syariah kini merger ke Bank Syariah Indonesia/BSI) Bank BRI Agroniaga (BRI Agro) BRIngin Remittance BTMU-BRI Finance (asosiasi) #BBRI,1940669215536828491,in,"{'label': 'neutral', 'score': 0.9985501170158386}",neutral,0.9985501170158386
2025-07-03 07:09:22+00:00,6/ Skala Operasi $BBRI: 5.381 Unit BRI 2.069 Teras BRI 638 Teras BRI Keliling Kantor Cabang Internasional (New York Hong Kong Singapura) Siapa bilang BRI cuma lokal? Mereka udah go global! #BBRI,1940669176806625481,in,"{'label': 'neutral', 'score': 0.9967189431190491}",neutral,0.9967189431190491
2025-07-03 07:09:13+00:00,5/ Digitalisasi di BRI makin ngebut: BRImo makin lengkap Agen BRILink makin luas Internet banking SMS banking Lebih dari 24.000 ATM &amp; 284.000 EDC Digital banking jadi pilar masa depan BRI #BBRI,1940669139624116485,in,"{'label': 'neutral', 'score': 0.9865484833717346}",neutral,0.9865484833717346
2025-07-03 07:08:57+00:00,4/ Produk dan layanan: Kredit Usaha Rakyat (KUR) Kredit Mikro Pinjaman komersial Tabungan Simpedes BRI Mobile / BRImo Layanan institusional &amp; consumer banking #BBRI,1940669074696245486,in,"{'label': 'neutral', 'score': 0.9982494711875916}",neutral,0.9982494711875916
2025-07-03 07:08:49+00:00,3/ Kenapa BRI disebut bank UMKM? Karena 70% lebih portofolio kreditnya fokus ke mikro dan kecil. Ini bukan cuma bisnis tapi tulang punggung ekonomi RI. UMKM = 60% PDB Indonesia Dan BRI hadir di garda depan melayani mereka. #BBRI,1940669040508457280,in,"{'label': 'positive', 'score': 0.9495647549629211}",positive,0.9495647549629211
2025-07-03 07:08:40+00:00,2/ Nama: PT Bank Rakyat Indonesia (Persero) Tbk Kode Saham: $BBRI Status: BUMN Fokus: Mikro Kecil Menengah (UMKM) Jaringan: 8 jenjang kantor + &gt;200.000 touch points! #BBRI,1940669000452825125,in,"{'label': 'neutral', 'score': 0.9938756823539734}",neutral,0.9938756823539734
2025-07-03 07:08:30+00:00, Raja UMKM Indonesia Inilah Profil Bank BRI! 🇮🇩 1/ Bank dengan jaringan terbesar se-Indonesia? Bank yang jadi tulang punggung UMKM? Itulah $BBRI Bank Rakyat Indonesia. Yuk kenalan sama raksasa perbankan milik negara ini! #BBRI #BankBRI #SahamBBRI #BUMN https://t.co/LFeNCYw2Vb,1940668958925115466,in,"{'label': 'positive', 'score': 0.8956800699234009}",positive,0.8956800699234009
2025-07-03 06:50:31+00:00,nangis bbri sama bbca ga naik2,1940664432893612432,in,"{'label': 'negative', 'score': 0.9982750415802002}",negative,0.9982750415802002
2025-07-03 06:49:27+00:00,ini bank plat merah kenapa pada merah semua ya ? $BBNI $BBRI $BMRI kalau gini mending hubar aja dah,1940664167226282410,in,"{'label': 'negative', 'score': 0.9771297574043274}",negative,0.9771297574043274
2025-07-03 03:49:35+00:00,JPMorgan Adjusts Portfolio in Indonesian Banking Stocks BBRI BMRI BBCA in Q2 2025 https://t.co/UlKYTejvkC,1940618900909215800,in,"{'label': 'neutral', 'score': 0.9982749223709106}",neutral,0.9982749223709106
2025-07-03 02:21:48+00:00,$BBRI in technical view Upside 17% and Downside 8.36%. Not Financial Advice and DYOR. Secara Macro news yang pernah saya sebutkan di postingan sebelumnya good for big banks. https://t.co/5hcPiibsxA,1940596810097271113,in,"{'label': 'positive', 'score': 0.558965802192688}",positive,0.558965802192688
2025-07-03 01:41:06+00:00,Donor darah bersama Insan BRILiaN hadir kembali! Registrasi di sini https://t.co/lRxbWx50jQ Waktu registrasi: 3 Juli 2025 10.00 WIB s.d 4 Juli 2025 13.00 WIB. Khusus untuk 700 pendaftar pertama (karyawan BRI). Yuk jadi bagian dari gerakan kebaikan bareng BRI!,1940586568693305733,in,"{'label': 'neutral', 'score': 0.918099582195282}",neutral,0.918099582195282
2025-07-03 01:01:14+00:00,Rekomendasi Saham BBRI BMRI dan BBCA Awal Juli 2025 https://t.co/y9wpu1nvIR,1940576533829374278,in,"{'label': 'neutral', 'score': 0.9989545345306396}",neutral,0.9989545345306396
2025-07-02 15:18:01+00:00,@jalanpelanpelan Yaudah mana $BBCA atau $BBRI 1 lot,1940429760930501055,in,"{'label': 'positive', 'score': 0.9654675722122192}",positive,0.9654675722122192
2025-07-02 14:12:41+00:00,@urfavskyblue Hai Sobat BRI terima kasih atas ketertarikannya terhadap promo BRI. Kami informasikan promo tersebut berlaku hingga 31 Desember 2025 ya. Informasi selengkapnya dapat mengakses website https://t.co/ZH6KCekayj. Sobat BRI hati-hati dengan link atau tautan mencurigakan yang,1940413319245947272,in,"{'label': 'neutral', 'score': 0.9852896332740784}",neutral,0.9852896332740784
2025-07-02 11:52:41+00:00,@ubur_ubur309 karena bbca bbri dijual asing https://t.co/jnkQgI87ch,1940378089747538045,in,"{'label': 'neutral', 'score': 0.7585331797599792}",neutral,0.7585331797599792
2025-07-02 11:02:43+00:00,@Gieehad BBRI bisa ATH taun ini moga bener ucap master gema di YouTube nya,1940365515664626059,in,"{'label': 'neutral', 'score': 0.930517852306366}",neutral,0.930517852306366
2025-07-02 10:37:48+00:00,@TomketLovers Raja (crypto) siap pompom BebeEr iH dan GoTo $BBRI 10.000 $GOTO 400 ,1940359242457940206,in,"{'label': 'neutral', 'score': 0.9207539558410645}",neutral,0.9207539558410645
2025-07-02 07:34:26+00:00,@adisucippto padahal BBRI ma BMRI lebih parah ,1940313098235388066,in,"{'label': 'negative', 'score': 0.819482684135437}",negative,0.819482684135437
2025-07-02 07:03:09+00:00,Prospek Cerah BBRI Rekomendasi BUY Tetap Dipertahankan https://t.co/g73DZQ1kRQ,1940305226348863829,in,"{'label': 'neutral', 'score': 0.940354585647583}",neutral,0.940354585647583
2025-07-02 06:59:17+00:00,Harga Saham BRI (BBRI) Diproyeksi Bisa ke Sini https://t.co/qNwQxq5U2k,1940304251114463632,in,"{'label': 'neutral', 'score': 0.9960065484046936}",neutral,0.9960065484046936
2025-07-02 06:35:27+00:00,$BBRI buy di fib 78.6 3580 $BMRI buy fib 78 6 4540 $BBNI Buy fib 78 6 3810 $BBCA BUY fib 61 8 8250 (liat lagi nanti Kalau dbawah turun lagi 7625) https://t.co/acaPLASHPe,1940298254463496699,in,"{'label': 'neutral', 'score': 0.9959686994552612}",neutral,0.9959686994552612
2025-07-02 05:36:01+00:00,Nasib BRPT GOTO BBRI #saham #infosaham #investasi https://t.co/MySAnWjGmL,1940283296031941045,in,"{'label': 'neutral', 'score': 0.9965494871139526}",neutral,0.9965494871139526
2025-07-02 04:40:51+00:00,Wujudkan kepedulianmu dengan mudah kini donasi ke Palang Merah Indonesia bisa langsung lewat BRImo. Info lebih lanjut di https://t.co/iKIrM9tHv9 https://t.co/7OOEmWt1VM,1940269415771304073,in,"{'label': 'neutral', 'score': 0.7739394307136536}",neutral,0.7739394307136536
2025-07-02 04:17:11+00:00,Transaksi JPMorgan di Saham BBRI BMRI dan BBCA selama Kuartal II/2025 https://t.co/rlfd0n6Inu,1940263458492268655,in,"{'label': 'neutral', 'score': 0.9983633160591125}",neutral,0.9983633160591125
2025-07-02 03:38:05+00:00,Manajemen PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) buka suara terkait kasus dugaan korupsi dalam pengadaan mesin electronic data capture (EDC). https://t.co/vgqqPoYAvp #kasuskorupsi #mesinedc #bankbumn #komisipemberantasankorupsi,1940253618214727818,in,"{'label': 'neutral', 'score': 0.9977300763130188}",neutral,0.9977300763130188
